"","Variable","%p<0.05","%p<0.01","%p<0.001"
"1","Bio1",0.002,0,0
"2","Bio2",0.026,0.002,0
"3","Bio3",0.025,0,0
"4","Bio4",0.21,0.006,0
"5","Bio5",0.003,0,0
"6","Bio6",0.014,0,0
"7","Bio7",0.107,0.006,0
"8","Bio8",0,0,0
"9","Bio9",0.027,0,0
"10","Bio10",0.001,0,0
"11","Bio11",0.007,0,0
"12","Bio12",0.243,0.023,0.001
"13","Bio13",0.228,0.025,0
"14","Bio14",0.033,0.004,0
"15","Bio15",0.001,0,0
"16","Bio16",0.184,0.014,0
"17","Bio17",0.049,0.007,0
"18","Bio18",0.01,0.001,0
"19","Bio19",0.468,0.115,0.009
